agent,n_agent,mean_agent,sd_agent,n_expert,mean_expert,sd_expert,t_stat,p_raw_two_sided,hedges_g,boot_mean_diff_lo,boot_mean_diff_hi,p_adj_fdr_bh
top_down,20,5.55,1.4317821063276355,20,5.45,0.8255779474818965,0.2705877425104778,0.7885382321716377,0.08386734360392654,-0.5999999999999996,0.7999999999999998,0.7885382321716377
bottom_up,20,6.5,1.670171752907624,20,5.45,0.8255779474818965,2.5204245283048983,0.01775470925277611,0.7811932202912932,0.2999999999999998,1.8999999999999995,0.08076747990183204
learner_questions,20,6.65,3.9105121484478085,20,5.45,0.8255779474818965,1.3427454723902006,0.19390099483193388,0.4161773732274846,-0.2999999999999998,3.1012499999999825,0.3231683247198898
teacher_questions,20,5.3,1.0310954828418377,20,5.45,0.8255779474818965,-0.5078568223783159,0.6146288909810442,-0.15740773114418227,-0.7000000000000002,0.40000000000000036,0.7079230316297225
mixed_top-down_learner_questions,20,5.9,1.6189665319514628,20,5.45,0.8255779474818965,1.1073819669459732,0.2774671795065772,0.3432276091333062,-0.25,1.2999999999999998,0.39638168500939597
mixed_top-down_teacher_questions,20,6.7,2.754899940870907,20,5.45,0.8255779474818965,1.9437688527311057,0.06459927100187444,0.6024616220459331,0.04999999999999982,2.45,0.1291985420037489
mixed_bottom-up_learner_questions,20,6.2,1.2814465510343749,20,5.45,0.8255779474818965,2.2003294307044134,0.03501421005318722,0.6819813148024378,0.09999999999999964,1.3999999999999995,0.08753552513296806
mixed_bottom-up_teacher_questions,20,14.7,5.262578915522813,20,5.45,0.8255779474818965,7.765666332521331,1.8806254751086445e-07,2.406930190482635,6.898750000000001,11.45,1.8806254751086445e-06
mixed_learner_questions,20,5.6,1.1424811411549587,20,5.45,0.8255779474818965,0.47590972486929073,0.6371307284667502,0.14750588496637987,-0.4500000000000002,0.75,0.7079230316297225
mixed_teacher_questions,20,7.7,4.0535884037934125,20,5.45,0.8255779474818965,2.432385676015954,0.02423024397054961,0.7539060098400425,0.6500000000000004,4.1499999999999995,0.08076747990183204
