agent,n_agent,mean_agent,sd_agent,n_expert,mean_expert,sd_expert,t_stat,p_raw_two_sided,hedges_g,boot_mean_diff_lo,boot_mean_diff_hi,p_adj_fdr_bh
top_down,20,11.55,4.524494737711488,20,8.1,3.059067625411721,2.8249783834970157,0.007922481016734682,0.8755881939228456,1.1499999999999986,5.8,0.007922481016734682
bottom_up,20,13.4,5.43284359002578,20,8.1,3.059067625411721,3.8015702144397476,0.0006581121497081755,1.1782780419054837,2.5999999999999996,8.0,0.0009538060236827914
learner_questions,20,13.9,4.351648205595572,20,8.1,3.059067625411721,4.876297141225483,2.4686083358917812e-05,1.5113843815085835,3.5,8.0,8.228694452972604e-05
teacher_questions,20,13.45,6.303507795372018,20,8.1,3.059067625411721,3.414781748159559,0.0019997614312086227,1.0583948539140684,2.4000000000000004,8.25,0.002499701789010778
mixed_top-down_learner_questions,20,13.5,5.175854874724612,20,8.1,3.059067625411721,4.016709420897632,0.0003513236661246113,1.2449593837256174,2.8499999999999996,7.95,0.0007026473322492226
mixed_top-down_teacher_questions,20,13.75,3.9586680375574494,20,8.1,3.059067625411721,5.0505904490389915,1.3106380922897725e-05,1.5654057373861299,3.5,7.8,8.228694452972604e-05
mixed_bottom-up_learner_questions,20,14.45,5.968998858135345,20,8.1,3.059067625411721,4.233952377474002,0.00021938458624348031,1.3122927725764366,3.3499999999999996,9.1,0.0005484614656087008
mixed_bottom-up_teacher_questions,20,14.65,4.976523834332979,20,8.1,3.059067625411721,5.014508140865852,1.970357160846323e-05,1.5542222029454957,4.0,9.0,8.228694452972604e-05
mixed_learner_questions,20,12.45,5.13476284493103,20,8.1,3.059067625411721,3.2548136897057764,0.002744833652741934,1.0088135388126394,1.8000000000000007,6.949999999999999,0.00304981516971326
mixed_teacher_questions,20,13.6,5.688400015544099,20,8.1,3.059067625411721,3.8082675643970796,0.0006676642165779539,1.1803538526753878,2.6500000000000004,8.2,0.0009538060236827914
