agent,n_agent,mean_agent,sd_agent,n_expert,mean_expert,sd_expert,t_stat,p_raw_two_sided,hedges_g,boot_mean_diff_lo,boot_mean_diff_hi,p_adj_fdr_bh
top_down,20,6.5,1.6383560438182505,20,6.65,2.058998223459779,-0.25493979435491115,0.8002134425077835,-0.07901733882365265,-1.2999999999999998,1.0,0.8002134425077835
bottom_up,20,10.85,4.749238166053029,20,6.65,2.058998223459779,3.6286037093072845,0.0012271069174324902,1.1246679220111842,1.9999999999999991,6.449999999999999,0.0017530098820464147
learner_questions,20,13.0,5.467607963461285,20,6.65,2.058998223459779,4.860643751862767,5.74854332699209e-05,1.5065326902528415,3.8499999999999996,8.8,0.00014371358317480224
teacher_questions,20,15.15,5.254321529640349,20,6.65,2.058998223459779,6.735923520579419,4.946574553426624e-07,2.08776645663589,6.050000000000001,10.801249999999982,2.4732872767133115e-06
mixed_top-down_learner_questions,20,13.05,3.6774562146307486,20,6.65,2.058998223459779,6.791018033102691,1.607568852303673e-07,2.104842730563195,4.550000000000001,8.2,1.607568852303673e-06
mixed_top-down_teacher_questions,20,12.0,5.703184705887903,20,6.65,2.058998223459779,3.9459068779432025,0.0006088545927858096,1.2230144828114125,2.750000000000001,7.95,0.0011175525041870788
mixed_bottom-up_learner_questions,20,13.0,4.242640687119285,20,6.65,2.058998223459779,6.021801986105383,1.8607995031477611e-06,1.86642798967123,4.35,8.35,6.202665010492538e-06
mixed_bottom-up_teacher_questions,20,10.3,4.736198786724267,20,6.65,2.058998223459779,3.1607328058154907,0.0039779026769649365,0.9796536303016978,1.4500000000000002,5.85,0.00497237834620617
mixed_learner_questions,20,9.5,5.633546139445665,20,6.65,2.058998223459779,2.124963694845349,0.0440885974400303,0.6586220746291317,0.35000000000000053,5.449999999999999,0.04898733048892255
mixed_teacher_questions,20,10.95,4.547700402111865,20,6.65,2.058998223459779,3.8521240318159777,0.0006705315025122472,1.1939469496433068,2.2,6.5,0.0011175525041870788
